title,year,language,genres,rt_score,rt_url,reason,source_list,classification_source,added_to_radarr
Judgment at Nuremberg,1961,English,Drama,93,https://www.rottentomatoes.com/m/judgment_at_nuremberg,Accepted: RT 93 meets threshold 85,oscars_best_picture,radarr_lookup,true
The Sand Pebbles,1966,English,Adventure,85,https://www.rottentomatoes.com/m/sand_pebbles,Accepted: RT 85 meets threshold 85,oscars_best_picture,radarr_lookup,true
"Rachel, Rachel",1968,English,Drama,92,https://www.rottentomatoes.com/m/rachel_rachel,Accepted: RT 92 meets threshold 85,oscars_best_picture,radarr_lookup,true
Romeo and Juliet,1968,English,Romance,95,https://www.rottentomatoes.com/m/romeo_and_juliet_1968,Accepted: RT 95 meets threshold 85,oscars_best_picture,radarr_lookup,true
The French Connection,1971,English,Crime|Drama|Mystery & Thriller,97,https://www.rottentomatoes.com/m/french_connection,Accepted: RT 97 meets threshold 85,oscars_best_picture,radarr_lookup,true
Sounder,1972,English,Drama,91,https://www.rottentomatoes.com/m/sounder,Accepted: RT 91 meets threshold 85,oscars_best_picture,radarr_lookup,true
American Graffiti,1973,English,Comedy|Drama,95,https://www.rottentomatoes.com/m/american_graffiti,Accepted: RT 95 meets threshold 85,oscars_best_picture,radarr_lookup,true
A Touch of Class,1973,English,Romance|Comedy,86,https://www.rottentomatoes.com/m/touch_of_class,Accepted: RT 86 meets threshold 85,oscars_best_picture,radarr_lookup,true
Midnight Express,1978,English,Drama|Biography|Crime,90,https://www.rottentomatoes.com/m/midnight_express,Accepted: RT 90 meets threshold 85,oscars_best_picture,radarr_lookup,true
An Unmarried Woman,1978,English,Drama,89,https://www.rottentomatoes.com/m/unmarried_woman,Accepted: RT 89 meets threshold 85,oscars_best_picture,radarr_lookup,true
Breaking Away,1979,English,Comedy|Drama,95,https://www.rottentomatoes.com/m/breaking_away,Accepted: RT 95 meets threshold 85,oscars_best_picture,radarr_lookup,true
Norma Rae,1979,English,Drama,91,https://www.rottentomatoes.com/m/norma_rae,Accepted: RT 91 meets threshold 85,oscars_best_picture,radarr_lookup,true
Tootsie,1982,English,Comedy|LGBTQ+,91,https://www.rottentomatoes.com/m/tootsie,Accepted: RT 91 meets threshold 85,oscars_best_picture,radarr_lookup,true
The Verdict,1982,English,Drama,88,https://www.rottentomatoes.com/m/verdict,Accepted: RT 88 meets threshold 85,oscars_best_picture,radarr_lookup,true
The Dresser,1983,English,Comedy|Drama,100,https://www.rottentomatoes.com/m/dresser,Accepted: RT 100 meets threshold 85,oscars_best_picture,radarr_lookup,true
Places in the Heart,1984,English,Drama,90,https://www.rottentomatoes.com/m/places_in_the_heart,Accepted: RT 90 meets threshold 85,oscars_best_picture,radarr_lookup,true
A Soldier's Story,1984,English,Mystery & Thriller,91,https://www.rottentomatoes.com/m/soldiers_story,Accepted: RT 91 meets threshold 85,oscars_best_picture,radarr_lookup,true
Kiss of the Spider Woman,1985,English,Drama,88,https://www.rottentomatoes.com/m/kiss_of_the_spider_woman,Accepted: RT 88 meets threshold 85,oscars_best_picture,radarr_lookup,true
Prizzi's Honor,1985,English,Romance|Comedy,85,https://www.rottentomatoes.com/m/prizzis_honor,Accepted: RT 85 meets threshold 85,oscars_best_picture,radarr_lookup,true
Hannah and Her Sisters,1986,English,Comedy|Drama,92,https://www.rottentomatoes.com/m/hannah_and_her_sisters,Accepted: RT 92 meets threshold 85,oscars_best_picture,radarr_lookup,true
A Room with a View,1986,English,Drama,100,https://www.rottentomatoes.com/m/room_with_a_view_1986,Accepted: RT 100 meets threshold 85,oscars_best_picture,radarr_lookup,true
Hope and Glory,1987,English,Comedy|Drama,96,https://www.rottentomatoes.com/m/hope_and_glory,Accepted: RT 96 meets threshold 85,oscars_best_picture,radarr_lookup,true
Dangerous Liaisons,1988,English,Drama,91,https://www.rottentomatoes.com/m/dangerous_liaisons_1988,Accepted: RT 91 meets threshold 85,oscars_best_picture,radarr_lookup,true
Quiz Show,1994,English,Drama,97,https://www.rottentomatoes.com/m/quiz_show,Accepted: RT 97 meets threshold 80,oscars_best_picture,radarr_lookup,true
Shine,1996,English,Biography|Drama,91,https://www.rottentomatoes.com/m/shine,Accepted: RT 91 meets threshold 80,oscars_best_picture,radarr_lookup,true
Milk,2008,English,Biography|Drama|LGBTQ+,93,https://www.rottentomatoes.com/m/milk,Accepted: RT 93 meets threshold 90,oscars_best_picture,radarr_lookup,true
Dune: Part Two,2024,English,Sci-Fi|Adventure|Action|Fantasy|Drama,92,https://www.rottentomatoes.com/m/dune_part_two,Accepted: RT 92 meets threshold 80,oscars_best_picture,radarr_lookup,true
When Father Was Away on Business,1985,English,Drama,100,https://www.rottentomatoes.com/m/when_father_was_away_on_business,Accepted: RT 100 meets threshold 85,palme_dor,radarr_lookup,true
Inherit the Wind,1960,English,Drama,93,https://www.rottentomatoes.com/m/inherit_the_wind,Accepted: RT 93 meets threshold 85,bafta_best_film,radarr_lookup,true
The Trials of Oscar Wilde,1960,English,Drama,100,https://www.rottentomatoes.com/m/the_trials_of_oscar_wilde,Accepted: RT 100 meets threshold 85,bafta_best_film,radarr_lookup,true
David and Lisa,1962,English,Drama,85,https://www.rottentomatoes.com/m/david_and_lisa,Accepted: RT 85 meets threshold 85,bafta_best_film,radarr_lookup,true
Days of Wine and Roses,1962,English,Drama,100,https://www.rottentomatoes.com/m/days_of_wine_and_roses_1962,Accepted: RT 100 meets threshold 85,bafta_best_film,radarr_lookup,true
The Spy Who Came in From The Cold,1966,English,Mystery & Thriller|Drama,86,https://www.rottentomatoes.com/m/the_spy_who_came_in_from_the_cold,Accepted: RT 86 meets threshold 85,bafta_best_film,radarr_lookup,true
Taking Off,1971,English,Comedy|Drama,100,https://www.rottentomatoes.com/m/taking_off,Accepted: RT 100 meets threshold 85,bafta_best_film,radarr_lookup,true
